,Attraction,AttractionType,CityName,Country,Region,Continent
0,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Lagos,NIGERIA,West Africa,Africa
3,Tegalalang Rice Terrace,Points of Interest & Landmarks,Lagos,NIGERIA,West Africa,Africa
6,Kuta Beach - Bali,Beaches,Lagos,NIGERIA,West Africa,Africa
7,Sanur Beach,Beaches,Lagos,NIGERIA,West Africa,Africa
8,Tanah Lot Temple,Religious Sites,Lagos,NIGERIA,West Africa,Africa
9,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Jakarta,Indonesia,South East Asia,Asia
128,Sempu Island,Nature & Wildlife Areas,Jakarta,Indonesia,South East Asia,Asia
135,Tegalalang Rice Terrace,Points of Interest & Landmarks,Jakarta,Indonesia,South East Asia,Asia
219,Water Castle (Tamansari),Points of Interest & Landmarks,Jakarta,Indonesia,South East Asia,Asia
241,Malang City Square,Points of Interest & Landmarks,Jakarta,Indonesia,South East Asia,Asia
255,Bromo Tengger Semeru National Park,National Parks,Jakarta,Indonesia,South East Asia,Asia
341,Kalibiru National Park,National Parks,Jakarta,Indonesia,South East Asia,Asia
352,Tegenungan Waterfall,Waterfalls,Jakarta,Indonesia,South East Asia,Asia
375,Coban Rondo Waterfall,Waterfalls,Jakarta,Indonesia,South East Asia,Asia
386,Nusa Dua Beach,Beaches,Jakarta,Indonesia,South East Asia,Asia
449,Kuta Beach - Bali,Beaches,Jakarta,Indonesia,South East Asia,Asia
527,Sanur Beach,Beaches,Jakarta,Indonesia,South East Asia,Asia
588,Seminyak Beach,Beaches,Jakarta,Indonesia,South East Asia,Asia
647,Balekambang Beach,Beaches,Jakarta,Indonesia,South East Asia,Asia
657,Goa Cina Beach,Beaches,Jakarta,Indonesia,South East Asia,Asia
666,Tanah Lot Temple,Religious Sites,Jakarta,Indonesia,South East Asia,Asia
721,Uluwatu Temple,Religious Sites,Jakarta,Indonesia,South East Asia,Asia
820,Waterbom Bali,Water Parks,Jakarta,Indonesia,South East Asia,Asia
903,Ullen Sentalu Museum,History Museums,Jakarta,Indonesia,South East Asia,Asia
993,Merapi Volcano,Volcanos,Jakarta,Indonesia,South East Asia,Asia
1119,Mount Semeru Volcano,Volcanos,Jakarta,Indonesia,South East Asia,Asia
1131,Malioboro Road,Flea & Street Markets,Jakarta,Indonesia,South East Asia,Asia
1203,Ramayana Ballet at Prambanan,Ballets,Jakarta,Indonesia,South East Asia,Asia
1217,Yogyakarta Palace,Historic Sites,Jakarta,Indonesia,South East Asia,Asia
1244,Jodipan Colorful Village,Neighborhoods,Jakarta,Indonesia,South East Asia,Asia
1250,Khayangan Reflexology & Massage,Spas,Jakarta,Indonesia,South East Asia,Asia
1255,Sewu Temple,Ancient Ruins,Jakarta,Indonesia,South East Asia,Asia
1260,Ratu Boko Temple,Ancient Ruins,Jakarta,Indonesia,South East Asia,Asia
1289,Jomblang Cave,Caverns & Caves,Jakarta,Indonesia,South East Asia,Asia
1292,Museum Malang Tempo Doeloe,Speciality Museums,Jakarta,Indonesia,South East Asia,Asia
1299,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,California Desert,United States,Northern America,America
1300,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Denver,United States,Northern America,America
1319,Tegalalang Rice Terrace,Points of Interest & Landmarks,Denver,United States,Northern America,America
1325,Tegenungan Waterfall,Waterfalls,Denver,United States,Northern America,America
1330,Sanur Beach,Beaches,Denver,United States,Northern America,America
1332,Tanah Lot Temple,Religious Sites,Denver,United States,Northern America,America
1333,Uluwatu Temple,Religious Sites,Denver,United States,Northern America,America
1335,Waterbom Bali,Water Parks,Denver,United States,Northern America,America
1339,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Sligo,Ireland,Western Europe,Europe
1342,Tegalalang Rice Terrace,Points of Interest & Landmarks,Sligo,Ireland,Western Europe,Europe
1343,Nusa Dua Beach,Beaches,Sligo,Ireland,Western Europe,Europe
1345,Seminyak Beach,Beaches,Sligo,Ireland,Western Europe,Europe
1346,Tanah Lot Temple,Religious Sites,Sligo,Ireland,Western Europe,Europe
1347,Waterbom Bali,Water Parks,Sligo,Ireland,Western Europe,Europe
1348,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Mexico City,Mexico,Northern America,America
1357,Tegalalang Rice Terrace,Points of Interest & Landmarks,Mexico City,Mexico,Northern America,America
1362,Tegenungan Waterfall,Waterfalls,Mexico City,Mexico,Northern America,America
1363,Nusa Dua Beach,Beaches,Mexico City,Mexico,Northern America,America
1366,Kuta Beach - Bali,Beaches,Mexico City,Mexico,Northern America,America
1368,Sanur Beach,Beaches,Mexico City,Mexico,Northern America,America
1370,Seminyak Beach,Beaches,Mexico City,Mexico,Northern America,America
1371,Tanah Lot Temple,Religious Sites,Mexico City,Mexico,Northern America,America
1373,Yogyakarta Palace,Historic Sites,Mexico City,Mexico,Northern America,America
1376,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Red Deer,Canada,Northern America,America
1379,Tegalalang Rice Terrace,Points of Interest & Landmarks,Red Deer,Canada,Northern America,America
1381,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Reno,United States,Northern America,America
1384,Tegalalang Rice Terrace,Points of Interest & Landmarks,Reno,United States,Northern America,America
1385,Kuta Beach - Bali,Beaches,Reno,United States,Northern America,America
1386,Tanah Lot Temple,Religious Sites,Reno,United States,Northern America,America
1387,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Cape Town,South Africa,Southern Africa,Africa
1424,Tegalalang Rice Terrace,Points of Interest & Landmarks,Cape Town,South Africa,Southern Africa,Africa
1444,Tegenungan Waterfall,Waterfalls,Cape Town,South Africa,Southern Africa,Africa
1455,Nusa Dua Beach,Beaches,Cape Town,South Africa,Southern Africa,Africa
1459,Kuta Beach - Bali,Beaches,Cape Town,South Africa,Southern Africa,Africa
1469,Sanur Beach,Beaches,Cape Town,South Africa,Southern Africa,Africa
1473,Seminyak Beach,Beaches,Cape Town,South Africa,Southern Africa,Africa
1482,Tanah Lot Temple,Religious Sites,Cape Town,South Africa,Southern Africa,Africa
1485,Uluwatu Temple,Religious Sites,Cape Town,South Africa,Southern Africa,Africa
1490,Waterbom Bali,Water Parks,Cape Town,South Africa,Southern Africa,Africa
1501,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Sydney,Canada,Northern America,America
1960,Tegalalang Rice Terrace,Points of Interest & Landmarks,Sydney,Canada,Northern America,America
2125,Tegenungan Waterfall,Waterfalls,Sydney,Canada,Northern America,America
2172,Nusa Dua Beach,Beaches,Sydney,Canada,Northern America,America
2240,Kuta Beach - Bali,Beaches,Sydney,Canada,Northern America,America
2318,Sanur Beach,Beaches,Sydney,Canada,Northern America,America
2419,Seminyak Beach,Beaches,Sydney,Canada,Northern America,America
2539,Tanah Lot Temple,Religious Sites,Sydney,Canada,Northern America,America
2619,Uluwatu Temple,Religious Sites,Sydney,Canada,Northern America,America
2709,Waterbom Bali,Water Parks,Sydney,Canada,Northern America,America
2997,Ullen Sentalu Museum,History Museums,Sydney,Canada,Northern America,America
2998,Merapi Volcano,Volcanos,Sydney,Canada,Northern America,America
3000,Malioboro Road,Flea & Street Markets,Sydney,Canada,Northern America,America
3008,Ramayana Ballet at Prambanan,Ballets,Sydney,Canada,Northern America,America
3009,Yogyakarta Palace,Historic Sites,Sydney,Canada,Northern America,America
3011,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,West Covina,United States,Northern America,America
3012,Tegenungan Waterfall,Waterfalls,West Covina,United States,Northern America,America
3014,Kuta Beach - Bali,Beaches,West Covina,United States,Northern America,America
3015,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Melbourne,United States,Northern America,America
3531,Tegalalang Rice Terrace,Points of Interest & Landmarks,Melbourne,United States,Northern America,America
3745,Water Castle (Tamansari),Points of Interest & Landmarks,Melbourne,United States,Northern America,America
3747,Malang City Square,Points of Interest & Landmarks,Melbourne,United States,Northern America,America
3749,Bromo Tengger Semeru National Park,National Parks,Melbourne,United States,Northern America,America
3753,Tegenungan Waterfall,Waterfalls,Melbourne,United States,Northern America,America
3839,Nusa Dua Beach,Beaches,Melbourne,United States,Northern America,America
3933,Kuta Beach - Bali,Beaches,Melbourne,United States,Northern America,America
4022,Sanur Beach,Beaches,Melbourne,United States,Northern America,America
4171,Seminyak Beach,Beaches,Melbourne,United States,Northern America,America
4372,Balekambang Beach,Beaches,Melbourne,United States,Northern America,America
4373,Tanah Lot Temple,Religious Sites,Melbourne,United States,Northern America,America
4483,Uluwatu Temple,Religious Sites,Melbourne,United States,Northern America,America
4594,Waterbom Bali,Water Parks,Melbourne,United States,Northern America,America
5211,Ullen Sentalu Museum,History Museums,Melbourne,United States,Northern America,America
5214,Merapi Volcano,Volcanos,Melbourne,United States,Northern America,America
5218,Malioboro Road,Flea & Street Markets,Melbourne,United States,Northern America,America
5224,Ramayana Ballet at Prambanan,Ballets,Melbourne,United States,Northern America,America
5226,Yogyakarta Palace,Historic Sites,Melbourne,United States,Northern America,America
5235,Jodipan Colorful Village,Neighborhoods,Melbourne,United States,Northern America,America
5236,Sewu Temple,Ancient Ruins,Melbourne,United States,Northern America,America
5238,Jomblang Cave,Caverns & Caves,Melbourne,United States,Northern America,America
5239,Museum Malang Tempo Doeloe,Speciality Museums,Melbourne,United States,Northern America,America
5240,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Ubud,Indonesia,South East Asia,Asia
5373,Tegalalang Rice Terrace,Points of Interest & Landmarks,Ubud,Indonesia,South East Asia,Asia
5435,Bromo Tengger Semeru National Park,National Parks,Ubud,Indonesia,South East Asia,Asia
5436,Tegenungan Waterfall,Waterfalls,Ubud,Indonesia,South East Asia,Asia
5458,Nusa Dua Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5461,Kuta Beach - Bali,Beaches,Ubud,Indonesia,South East Asia,Asia
5468,Sanur Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5479,Seminyak Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5484,Tanah Lot Temple,Religious Sites,Ubud,Indonesia,South East Asia,Asia
5491,Uluwatu Temple,Religious Sites,Ubud,Indonesia,South East Asia,Asia
5499,Waterbom Bali,Water Parks,Ubud,Indonesia,South East Asia,Asia
5522,Ullen Sentalu Museum,History Museums,Ubud,Indonesia,South East Asia,Asia
