,UserId,Attraction,Rating
0,14,Sacred Monkey Forest Sanctuary,4
1,46545,Sacred Monkey Forest Sanctuary,5
2,24292,Sacred Monkey Forest Sanctuary,3
3,14,Tegalalang Rice Terrace,5
5,45557,Tegalalang Rice Terrace,3
6,7155,Kuta Beach - Bali,3
7,74356,Sanur Beach,5
8,7155,Tanah Lot Temple,5
9,16,Sacred Monkey Forest Sanctuary,5
10,16,Sacred Monkey Forest Sanctuary,4
11,4123,Sacred Monkey Forest Sanctuary,5
12,5885,Sacred Monkey Forest Sanctuary,4
13,15281,Sacred Monkey Forest Sanctuary,5
14,25755,Sacred Monkey Forest Sanctuary,4
15,27620,Sacred Monkey Forest Sanctuary,4
16,30511,Sacred Monkey Forest Sanctuary,5
17,37992,Sacred Monkey Forest Sanctuary,3
18,39785,Sacred Monkey Forest Sanctuary,4
19,39786,Sacred Monkey Forest Sanctuary,3
20,42795,Sacred Monkey Forest Sanctuary,4
21,45329,Sacred Monkey Forest Sanctuary,4
22,51477,Sacred Monkey Forest Sanctuary,5
23,53234,Sacred Monkey Forest Sanctuary,5
24,56871,Sacred Monkey Forest Sanctuary,4
25,57049,Sacred Monkey Forest Sanctuary,4
26,57615,Sacred Monkey Forest Sanctuary,4
27,61635,Sacred Monkey Forest Sanctuary,3
28,63792,Sacred Monkey Forest Sanctuary,4
29,63924,Sacred Monkey Forest Sanctuary,3
30,69463,Sacred Monkey Forest Sanctuary,3
31,71723,Sacred Monkey Forest Sanctuary,4
32,75818,Sacred Monkey Forest Sanctuary,3
33,79834,Sacred Monkey Forest Sanctuary,4
34,82961,Sacred Monkey Forest Sanctuary,3
35,83578,Sacred Monkey Forest Sanctuary,4
36,84651,Sacred Monkey Forest Sanctuary,5
37,87289,Sacred Monkey Forest Sanctuary,4
39,1555,Sacred Monkey Forest Sanctuary,5
41,4823,Sacred Monkey Forest Sanctuary,4
42,13699,Sacred Monkey Forest Sanctuary,5
43,15297,Sacred Monkey Forest Sanctuary,3
44,15487,Sacred Monkey Forest Sanctuary,5
45,16962,Sacred Monkey Forest Sanctuary,4
46,18450,Sacred Monkey Forest Sanctuary,4
47,20015,Sacred Monkey Forest Sanctuary,4
48,20472,Sacred Monkey Forest Sanctuary,2
49,20643,Sacred Monkey Forest Sanctuary,4
50,20882,Sacred Monkey Forest Sanctuary,5
51,23991,Sacred Monkey Forest Sanctuary,4
52,26333,Sacred Monkey Forest Sanctuary,5
53,27370,Sacred Monkey Forest Sanctuary,3
54,28119,Sacred Monkey Forest Sanctuary,1
55,31176,Sacred Monkey Forest Sanctuary,5
56,35285,Sacred Monkey Forest Sanctuary,4
57,36601,Sacred Monkey Forest Sanctuary,5
58,38327,Sacred Monkey Forest Sanctuary,3
59,38464,Sacred Monkey Forest Sanctuary,5
60,39279,Sacred Monkey Forest Sanctuary,3
61,39329,Sacred Monkey Forest Sanctuary,5
62,39604,Sacred Monkey Forest Sanctuary,5
64,46358,Sacred Monkey Forest Sanctuary,4
65,50716,Sacred Monkey Forest Sanctuary,3
66,59377,Sacred Monkey Forest Sanctuary,3
67,62839,Sacred Monkey Forest Sanctuary,5
68,63676,Sacred Monkey Forest Sanctuary,5
69,69062,Sacred Monkey Forest Sanctuary,4
70,69402,Sacred Monkey Forest Sanctuary,4
71,74500,Sacred Monkey Forest Sanctuary,5
72,80124,Sacred Monkey Forest Sanctuary,4
73,81324,Sacred Monkey Forest Sanctuary,4
74,86437,Sacred Monkey Forest Sanctuary,3
76,86848,Sacred Monkey Forest Sanctuary,4
77,16,Sacred Monkey Forest Sanctuary,3
78,137,Sacred Monkey Forest Sanctuary,5
79,954,Sacred Monkey Forest Sanctuary,2
80,5246,Sacred Monkey Forest Sanctuary,4
81,9078,Sacred Monkey Forest Sanctuary,5
82,11001,Sacred Monkey Forest Sanctuary,3
83,13562,Sacred Monkey Forest Sanctuary,4
84,13699,Sacred Monkey Forest Sanctuary,4
85,13818,Sacred Monkey Forest Sanctuary,4
86,15308,Sacred Monkey Forest Sanctuary,4
87,18669,Sacred Monkey Forest Sanctuary,5
88,26333,Sacred Monkey Forest Sanctuary,4
90,31197,Sacred Monkey Forest Sanctuary,5
91,32446,Sacred Monkey Forest Sanctuary,4
92,32459,Sacred Monkey Forest Sanctuary,4
94,35045,Sacred Monkey Forest Sanctuary,5
95,35292,Sacred Monkey Forest Sanctuary,4
96,40043,Sacred Monkey Forest Sanctuary,4
98,42057,Sacred Monkey Forest Sanctuary,5
99,44509,Sacred Monkey Forest Sanctuary,4
100,45924,Sacred Monkey Forest Sanctuary,5
102,52857,Sacred Monkey Forest Sanctuary,5
103,52857,Sacred Monkey Forest Sanctuary,3
104,53064,Sacred Monkey Forest Sanctuary,4
105,55563,Sacred Monkey Forest Sanctuary,5
106,58348,Sacred Monkey Forest Sanctuary,5
107,58490,Sacred Monkey Forest Sanctuary,4
108,59841,Sacred Monkey Forest Sanctuary,3
109,59951,Sacred Monkey Forest Sanctuary,4
110,62258,Sacred Monkey Forest Sanctuary,5
111,63012,Sacred Monkey Forest Sanctuary,5
112,67455,Sacred Monkey Forest Sanctuary,5
113,68964,Sacred Monkey Forest Sanctuary,3
114,69937,Sacred Monkey Forest Sanctuary,5
115,78554,Sacred Monkey Forest Sanctuary,5
116,80832,Sacred Monkey Forest Sanctuary,4
117,18244,Sacred Monkey Forest Sanctuary,4
119,56460,Sacred Monkey Forest Sanctuary,5
120,59485,Sacred Monkey Forest Sanctuary,5
121,65785,Sacred Monkey Forest Sanctuary,5
122,67200,Sacred Monkey Forest Sanctuary,4
123,71089,Sacred Monkey Forest Sanctuary,4
124,72267,Sacred Monkey Forest Sanctuary,4
126,83164,Sacred Monkey Forest Sanctuary,5
128,35291,Sempu Island,4
129,49243,Sempu Island,4
130,67479,Sempu Island,5
131,68231,Sempu Island,2
132,72151,Sempu Island,4
133,85995,Sempu Island,4
134,32078,Sempu Island,5
135,5016,Tegalalang Rice Terrace,5
136,5885,Tegalalang Rice Terrace,5
137,10540,Tegalalang Rice Terrace,3
138,11659,Tegalalang Rice Terrace,4
139,13279,Tegalalang Rice Terrace,4
140,15017,Tegalalang Rice Terrace,5
141,17850,Tegalalang Rice Terrace,5
142,19788,Tegalalang Rice Terrace,5
144,20999,Tegalalang Rice Terrace,3
145,21149,Tegalalang Rice Terrace,4
146,26986,Tegalalang Rice Terrace,4
147,28522,Tegalalang Rice Terrace,3
148,31747,Tegalalang Rice Terrace,4
149,31859,Tegalalang Rice Terrace,5
150,40755,Tegalalang Rice Terrace,4
151,47192,Tegalalang Rice Terrace,4
152,56871,Tegalalang Rice Terrace,4
153,62669,Tegalalang Rice Terrace,5
154,63204,Tegalalang Rice Terrace,4
155,63675,Tegalalang Rice Terrace,5
156,68394,Tegalalang Rice Terrace,4
157,82093,Tegalalang Rice Terrace,4
158,16,Tegalalang Rice Terrace,5
159,7184,Tegalalang Rice Terrace,4
160,13586,Tegalalang Rice Terrace,4
161,13838,Tegalalang Rice Terrace,3
162,19509,Tegalalang Rice Terrace,3
164,29546,Tegalalang Rice Terrace,5
165,33090,Tegalalang Rice Terrace,5
166,33606,Tegalalang Rice Terrace,4
167,36839,Tegalalang Rice Terrace,5
168,37334,Tegalalang Rice Terrace,5
169,39329,Tegalalang Rice Terrace,3
170,40997,Tegalalang Rice Terrace,4
171,41049,Tegalalang Rice Terrace,5
172,43395,Tegalalang Rice Terrace,5
173,46358,Tegalalang Rice Terrace,5
174,50533,Tegalalang Rice Terrace,5
175,54554,Tegalalang Rice Terrace,5
176,56057,Tegalalang Rice Terrace,3
177,62090,Tegalalang Rice Terrace,5
178,62839,Tegalalang Rice Terrace,5
179,69901,Tegalalang Rice Terrace,4
180,70663,Tegalalang Rice Terrace,5
181,75556,Tegalalang Rice Terrace,4
182,79600,Tegalalang Rice Terrace,4
183,81022,Tegalalang Rice Terrace,5
184,85736,Tegalalang Rice Terrace,4
185,86349,Tegalalang Rice Terrace,4
186,116,Tegalalang Rice Terrace,2
187,15641,Tegalalang Rice Terrace,1
188,16746,Tegalalang Rice Terrace,5
189,18669,Tegalalang Rice Terrace,5
190,22782,Tegalalang Rice Terrace,5
191,28328,Tegalalang Rice Terrace,5
192,30077,Tegalalang Rice Terrace,4
193,33128,Tegalalang Rice Terrace,4
194,42057,Tegalalang Rice Terrace,5
195,45872,Tegalalang Rice Terrace,3
196,48810,Tegalalang Rice Terrace,4
197,58490,Tegalalang Rice Terrace,3
198,58493,Tegalalang Rice Terrace,4
199,60371,Tegalalang Rice Terrace,5
201,67561,Tegalalang Rice Terrace,5
202,76417,Tegalalang Rice Terrace,2
203,78554,Tegalalang Rice Terrace,5
204,79287,Tegalalang Rice Terrace,3
205,83466,Tegalalang Rice Terrace,3
206,85783,Tegalalang Rice Terrace,5
207,87135,Tegalalang Rice Terrace,4
208,50396,Tegalalang Rice Terrace,3
209,51874,Tegalalang Rice Terrace,5
211,65162,Tegalalang Rice Terrace,4
212,66541,Tegalalang Rice Terrace,2
213,73099,Tegalalang Rice Terrace,4
214,83083,Tegalalang Rice Terrace,4
217,59774,Tegalalang Rice Terrace,3
218,84487,Tegalalang Rice Terrace,4
219,27545,Water Castle (Tamansari),3
220,61724,Water Castle (Tamansari),5
222,69905,Water Castle (Tamansari),5
224,25618,Water Castle (Tamansari),5
225,25658,Water Castle (Tamansari),4
226,33881,Water Castle (Tamansari),5
227,36186,Water Castle (Tamansari),5
228,54434,Water Castle (Tamansari),4
229,62719,Water Castle (Tamansari),5
230,62719,Water Castle (Tamansari),4
231,75492,Water Castle (Tamansari),1
233,79600,Water Castle (Tamansari),2
234,79600,Water Castle (Tamansari),4
235,31236,Water Castle (Tamansari),3
237,55033,Water Castle (Tamansari),5
241,3736,Malang City Square,3
242,25963,Malang City Square,4
243,50396,Malang City Square,3
244,59026,Malang City Square,4
245,59322,Malang City Square,3
246,67609,Malang City Square,4
247,5016,Malang City Square,4
248,19315,Malang City Square,3
249,25618,Malang City Square,4
250,34758,Malang City Square,3
251,3983,Malang City Square,3
252,9723,Malang City Square,3
253,68765,Malang City Square,4
254,81726,Malang City Square,4
255,25,Bromo Tengger Semeru National Park,5
256,490,Bromo Tengger Semeru National Park,5
257,4119,Bromo Tengger Semeru National Park,4
258,13785,Bromo Tengger Semeru National Park,5
259,15528,Bromo Tengger Semeru National Park,5
260,18387,Bromo Tengger Semeru National Park,4
261,21520,Bromo Tengger Semeru National Park,4
262,25188,Bromo Tengger Semeru National Park,5
263,26803,Bromo Tengger Semeru National Park,4
264,26986,Bromo Tengger Semeru National Park,5
265,29390,Bromo Tengger Semeru National Park,5
266,30971,Bromo Tengger Semeru National Park,4
267,31082,Bromo Tengger Semeru National Park,5
268,31239,Bromo Tengger Semeru National Park,5
269,32200,Bromo Tengger Semeru National Park,5
270,36349,Bromo Tengger Semeru National Park,4
271,39790,Bromo Tengger Semeru National Park,4
272,39850,Bromo Tengger Semeru National Park,5
273,43882,Bromo Tengger Semeru National Park,5
274,49429,Bromo Tengger Semeru National Park,4
275,51042,Bromo Tengger Semeru National Park,5
276,59322,Bromo Tengger Semeru National Park,4
277,60679,Bromo Tengger Semeru National Park,4
278,61622,Bromo Tengger Semeru National Park,5
279,64106,Bromo Tengger Semeru National Park,5
280,65458,Bromo Tengger Semeru National Park,5
281,67361,Bromo Tengger Semeru National Park,4
282,67609,Bromo Tengger Semeru National Park,5
283,70933,Bromo Tengger Semeru National Park,5
284,72151,Bromo Tengger Semeru National Park,5
285,73052,Bromo Tengger Semeru National Park,5
286,73171,Bromo Tengger Semeru National Park,5
287,74054,Bromo Tengger Semeru National Park,4
288,77799,Bromo Tengger Semeru National Park,5
289,78373,Bromo Tengger Semeru National Park,3
290,82228,Bromo Tengger Semeru National Park,5
291,83987,Bromo Tengger Semeru National Park,3
292,517,Bromo Tengger Semeru National Park,5
293,3648,Bromo Tengger Semeru National Park,5
294,10366,Bromo Tengger Semeru National Park,4
295,15484,Bromo Tengger Semeru National Park,5
296,15631,Bromo Tengger Semeru National Park,5
297,20446,Bromo Tengger Semeru National Park,4
298,21886,Bromo Tengger Semeru National Park,5
299,25963,Bromo Tengger Semeru National Park,4
300,28412,Bromo Tengger Semeru National Park,5
301,30909,Bromo Tengger Semeru National Park,5
302,32711,Bromo Tengger Semeru National Park,5
303,33606,Bromo Tengger Semeru National Park,5
304,35077,Bromo Tengger Semeru National Park,4
305,35617,Bromo Tengger Semeru National Park,5
306,37289,Bromo Tengger Semeru National Park,5
307,37883,Bromo Tengger Semeru National Park,5
308,39340,Bromo Tengger Semeru National Park,5
309,40459,Bromo Tengger Semeru National Park,5
310,42144,Bromo Tengger Semeru National Park,5
311,52840,Bromo Tengger Semeru National Park,5
312,58777,Bromo Tengger Semeru National Park,5
313,61166,Bromo Tengger Semeru National Park,4
314,62719,Bromo Tengger Semeru National Park,5
315,65533,Bromo Tengger Semeru National Park,5
316,67606,Bromo Tengger Semeru National Park,5
317,68452,Bromo Tengger Semeru National Park,5
318,68490,Bromo Tengger Semeru National Park,5
319,69931,Bromo Tengger Semeru National Park,4
320,70342,Bromo Tengger Semeru National Park,5
321,82412,Bromo Tengger Semeru National Park,5
322,84659,Bromo Tengger Semeru National Park,4
323,10085,Bromo Tengger Semeru National Park,5
324,11595,Bromo Tengger Semeru National Park,5
325,29859,Bromo Tengger Semeru National Park,5
326,31496,Bromo Tengger Semeru National Park,5
327,31859,Bromo Tengger Semeru National Park,5
328,40223,Bromo Tengger Semeru National Park,5
